,lat,lon,year_built,number_units,number_stories,id,street_address,street_address_alias,city,state,zip_code,building_name,building_name_alias,avg_quality,distance_meters,distance_miles,similarity_score.subtype,similarity_score.market,similarity_score.distance,similarity_score.building_amenities,similarity_score.unit_amenities,similarity_score.number_units,similarity_score.number_stories,similarity_score.vintage,similarity_score.quality,similarity_score.unit_mix.0,similarity_score.unit_mix.1,similarity_score.unit_mix.2,similarity_score.overall,similarity_score.distance_meters,similarity_score.distance_miles
0,33.84578,-84.37119,2014,355,8,e7f106a1-7539-5a46-9a1a-cd7f221f2fa0,20 Terminus Place,"['20 Terminus Place Northeast', '20 Terminus Place']",Atlanta,GA,30305,Bell Terminus,"['Berkshire Terminus', 'Terminus Pl Suite 1100 Furnished Apartments', 'Bell Terminus', 'This Home']",0.7822953951946156,1328.0137042763072,0.8251915097346162,1,0.8635007276221144,0.8602498324095322,1.0,1.0,0.9601038308280492,0.8581206743138179,0.9487067056124494,1.0,0.9796826638823742,0.9049687863898465,0.8842119379154271,0.9385777998623807,1328.0137042763072,0.8251915097346162
1,33.84909,-84.37445,2022,318,5,9a7bffab-d1ae-58b6-b891-1ce4005a90f0,3699 Lenox Road Northeast,['3699 Lenox Road Northeast'],Atlanta,GA,30305,Prominence,['Prominence'],0.7827033183847044,1347.591507921275,0.8373566231630825,1,0.8635007276221144,0.8580218431526454,0.7971014492753624,1.0,1.0,0.9514423957791642,0.8058439855590422,1.0,0.8207706178347794,0.8339400167357086,0.7914969550128624,0.9126434949391778,1347.591507921275,0.8373566231630825
2,33.85166,-84.36885,2001,250,4,2836882c-4726-516c-b065-695534e5a325,3400 Stratford Road Northeast,"['3400 Stratford Road Northeast', '3400 Stratford Road']",Atlanta,GA,30326,MAA Stratford,['MAA Stratford'],0.835524280102058,756.7140671818224,0.47020149078617474,1,1.0,0.9252647583426092,1.0,1.0,0.896814966366323,0.817341661355862,0.44793141769996003,0.9325739750094689,0.5982535746828332,0.9116253519047651,0.9103312015093458,0.9016676033858226,756.7140671818224,0.47020149078617474
3,33.85485,-84.366145,1996,234,4,2e1d9a84-92f2-58c9-8b72-0d2ae75b3c3a,700 Phipps Boulevard Northeast,['700 Phipps Boulevard Northeast'],Atlanta,GA,30326,Camden Phipps,['Camden Phipps'],0.7773836914840319,434.59131472575837,0.27004319455538195,1,1.0,0.9619229067685399,0.7017543859649122,1.0,0.8656511785215293,0.817341661355862,0.3068528194400546,0.992282065505456,0.0,0.9361716981271387,0.9369271854175606,0.8996222197719755,434.59131472575837,0.27004319455538195
4,33.87341,-84.33515,2015,374,5,9c225818-86dc-5269-a3e3-17489324b87f,4420 Peachtree Road Northeast,"['4420 Peachtree Road Northeast', '4420 Peachtree Road']",Atlanta,GA,30319,Gables Brookhaven,"['Gables Brookhaven', 'Peachtree Road Furnished Apartments']",0.8038916593015226,3207.6759552735393,1.9931623866141024,1,0.6795056039803143,0.64634088849824,1.0,1.0,0.9348234527181969,0.9514423957791642,1.0,1.0,0.9339957777513672,0.9138854922557563,0.9082408698825178,0.8995619960071495,3207.6759552735393,1.9931623866141024
5,33.84828,-84.3545,2017,400,5,f6ad61ad-5bba-5869-8155-490411584c79,3450 Roxboro Road Northeast,['3450 Roxboro Road Northeast'],Atlanta,GA,30326,AMLI Buckhead,['AMLI Buckhead'],0.7503625615102023,950.3672319662536,0.5905322877491728,1,0.6687287811057172,0.9032266799898946,1.0,1.0,0.9022512403151155,0.9514423957791642,1.0,0.9150788370088001,0.0,0.8837347373986112,0.7739860659981028,0.8986640604959372,950.3672319662536,0.5905322877491728
6,33.87143,-84.3385,2014,297,6,a5bc24f8-ab17-5af4-b06e-1e595dab9178,1105 Town Boulevard,"['1105 Town Boulevard', '1105 Town Boulevard Northeast']",Atlanta,GA,30319,1105 Town Brookhaven,['1105 Town Brookhaven'],0.7421726826359244,2829.645137763968,1.7582643430002163,1,0.6795056039803143,0.6893614752533835,1.0,1.0,0.9781690694030591,1.0,0.9487067056124494,0.8916791830822919,0.0,0.9290929090857395,0.8452456622229416,0.8940528075466155,2829.645137763968,1.7582643430002163
7,33.84729,-84.35633,2005,305,6,0c798e2a-1e69-5fbc-84c4-a00b63e0a0d9,960 East Paces Ferry Road Northeast,['960 East Paces Ferry Road Northeast'],Atlanta,GA,30326,Buckhead 960,"['Buckhead 960', 'This Home', 'Buckhead 960 closed']",0.7529534720882927,937.6772469719676,0.5826470770452283,1,0.6687287811057172,0.9046708230996142,0.9523809523809523,1.0,0.9907428050776259,1.0,0.5771431491799661,0.9224814386604869,0.747110429782206,0.8627607004419305,0.9381441254055644,0.8902428496170439,937.6772469719676,0.5826470770452283
8,33.84883,-84.35836,2023,271,6,e427d3cf-2419-5656-b36c-cf9d6abfb550,3480 Lakeside Drive,"['3415 Kingsboro Road Northeast', '3480 Lakeside Drive', '3480 Lakeside Drive Northeast']",Atlanta,GA,30326,AMLI Flatiron,"['Amli Flatiron Apartments', 'This Home', 'AMLI Flatiron']",0.8052041979063929,699.3422436183939,0.4345522037719773,1,0.6687287811057172,0.9317937750221787,0.9090909090909092,1.0,0.9348737667226175,1.0,0.7317360134053206,1.0,0.838249533952014,0.8230995346113478,0.7363878904132067,0.88828954943686,699.3422436183939,0.4345522037719773
9,33.85816,-84.34294,2022,291,6,0d343bd4-ffc1-5bb1-a6e9-7c22f3ca1f09,3930 Peachtree Road Northeast,"['3920 Peachtree Road Northeast', '3930 Peachtree Road Northeast', '3930 Peachtree Road']",Brookhaven,GA,30319,Alta Porter on Peachtree,"['Alta Porter On Peachtree', 'Alta Porter on Peachtree', 'Alta Porter']",0.8473254485388269,1759.2419108289455,1.0931449605608172,1,0.93900380833912,0.8111752871291252,0.9090909090909092,0.8333333333333334,0.9685182080131636,1.0,0.8058439855590422,0.8988563509044152,0.6614458872391853,0.7789010921529113,0.6446665142765718,0.8774226757572609,1759.2419108289455,1.0931449605608172
